rank,author,first_author_papers_2023_2026,affiliation,recent_years,sample_bibcodes,ads_author_page
1,"Finnerty, Luke",14,"Department of Physics &amp; Astronomy, 430 Portola Plaza, University of California, Los Angeles, CA 90095, USA","2023,2024,2025,2026",2023AJ....166...31F 2024AJ....167...43F 2025AJ....169..333F,https://ui.adsabs.harvard.edu/search/q=author%3A%22Finnerty%2C%20Luke%22
2,"Niraula, Prajwal",11,"Department of Earth, Atmospheric and Planetary Sciences, MIT, 77 Massachusetts Avenue, Cambridge, MA 02139, US","2023,2025,2026",2023ApJ...950L..17N 2025ApJ...995L..66N 2023ApJ...950L..17N,https://ui.adsabs.harvard.edu/search/q=author%3A%22Niraula%2C%20Prajwal%22
3,"Kirk, James",10,"Department of Physics, Imperial College London, Prince Consort Road, SW7 2AZ London, UK;","2024,2025",2024AJ....167...90K 2025MNRAS.537.3027K 2024RASTI...3..691K,https://ui.adsabs.harvard.edu/search/q=author%3A%22Kirk%2C%20James%22
4,"Bennett, Katherine A.",9,"Department of Earth &amp; Planetary Sciences, Johns Hopkins University, Baltimore, MD 21218, USA","2023,2025",2023AJ....165..264B 2025AJ....170..205B 2025AJ....169..111B,https://ui.adsabs.harvard.edu/search/q=author%3A%22Bennett%2C%20Katherine%20A.%22
5,"Gressier, Amélie",9,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA","2024,2025",2024ApJ...975L..10G 2025AJ....170..292G 2025AJ....169...57G,https://ui.adsabs.harvard.edu/search/q=author%3A%22Gressier%2C%20Am%C3%A9lie%22
6,"Mukherjee, Sagnick",9,"Department of Astronomy and Astrophysics, University of California, Santa Cruz, Santa Cruz, CA 95064, USA; Dep","2023,2024,2025,2026",2023ApJ...942...71M 2024ApJ...963...73M 2025ApJ...982L..39M,https://ui.adsabs.harvard.edu/search/q=author%3A%22Mukherjee%2C%20Sagnick%22
7,"Murphy, Matthew M.",9,"Department of Physics and Astronomy, Michigan State University, East Lansing, MI, USA","2023,2024,2025,2026",2023AJ....165..107M 2025AJ....170...61M 2025AJ....170...61M,https://ui.adsabs.harvard.edu/search/q=author%3A%22Murphy%2C%20Matthew%20M.%22
8,"Zhang, Michael",9,"Department of Astronomy &amp; Astrophysics, University of Chicago, Chicago, IL 60637, USA","2023,2024,2025",2023AJ....165...62Z 2024ApJ...961L..44Z 2023ApJ...953L..25Z,https://ui.adsabs.harvard.edu/search/q=author%3A%22Zhang%2C%20Michael%22
9,"Ahrer, Eva-Maria",8,"Max Planck Institute for Astronomy, Heidelberg, Germany","2023,2025",2023Natur.614..653A 2025ApJ...985L..10A 2023Natur.614..653A,https://ui.adsabs.harvard.edu/search/q=author%3A%22Ahrer%2C%20Eva-Maria%22
10,"Constantinou, Savvas",8,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK","2023,2024",2023ApJ...943L..10C 2024MNRAS.530.3252C 2023ApJ...943L..10C,https://ui.adsabs.harvard.edu/search/q=author%3A%22Constantinou%2C%20Savvas%22
11,"Edwards, Billy",8,"SRON, Netherlands Institute for Space Research, Niels Bohrweg 4, NL-2333 CA, Leiden, the Netherlands; Departme","2023,2024",2023ApJS..269...31E 2024ApJ...962L..30E 2024RASTI...3..415E,https://ui.adsabs.harvard.edu/search/q=author%3A%22Edwards%2C%20Billy%22
12,"Lueber, Anna",8,"Ludwig Maximilian University, Faculty of Physics, University Observatory, Scheinerstr. 1, Munich, 81679, Germa","2024,2025",2024A&A...687A.110L 2025ApJ...984L..32L 2024A&A...687A.110L,https://ui.adsabs.harvard.edu/search/q=author%3A%22Lueber%2C%20Anna%22
13,"Moran, Sarah E.",8,"Department of Planetary Sciences and Lunar and Planetary Laboratory, University of Arizona, Tucson, AZ, USA;","2023,2024,2025",2023ApJ...948L..11M 2024ApJ...973L...3M 2025ApJ...994..116M,https://ui.adsabs.harvard.edu/search/q=author%3A%22Moran%2C%20Sarah%20E.%22
14,"Ohno, Kazumasa",8,"Division of Science, National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka, Tokyo 181-8588, Japan; ","2023,2024,2025,2026",2023ApJ...946...18O 2025ApJ...979L...7O 2023ApJ...956..125O,https://ui.adsabs.harvard.edu/search/q=author%3A%22Ohno%2C%20Kazumasa%22
15,"Schlawin, Everett",8,"Steward Observatory 933 North Cherry Avenue Tucson, AZ 85721, USA","2023,2024",2024ApJ...974L..33S 2024AJ....168..104S 2023PASP..135a8001S,https://ui.adsabs.harvard.edu/search/q=author%3A%22Schlawin%2C%20Everett%22
16,"Tsai, Shang-Min",8,"Department of Earth and Planetary Sciences, University of California, Riverside, CA, USA","2023,2024",2023Natur.617..483T 2024ApJ...966L..24T 2024ApJ...963...41T,https://ui.adsabs.harvard.edu/search/q=author%3A%22Tsai%2C%20Shang-Min%22
17,"Banerjee, Agnibha",7,"School of Physical Sciences, The Open University, Milton Keynes MK7 6AA, UK","2023,2024",2024ApJ...975L..11B 2024ApJ...975L..11B 2023MNRAS.523L..64B,https://ui.adsabs.harvard.edu/search/q=author%3A%22Banerjee%2C%20Agnibha%22
18,"Bello-Arufe, Aaron",7,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109, USA","2023,2025,2026",2025ApJ...980L..26B 2023AJ....166...69B 2025ApJ...980L..26B,https://ui.adsabs.harvard.edu/search/q=author%3A%22Bello-Arufe%2C%20Aaron%22
19,"Challener, Ryan C.",7,"Department of Astronomy, Cornell University, Ithaca, NY, USA; Department of Astronomy, University of Michigan,","2023,2024,2025",2024ApJ...969L..32C 2023AJ....166..251C 2023AJ....166..176C,https://ui.adsabs.harvard.edu/search/q=author%3A%22Challener%2C%20Ryan%20C.%22
20,"Espinoza, Néstor",7,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA; William H. Miller III Depa","2023,2024,2025",2023PASP..135a8002E 2025ApJ...990L..52E 2024Natur.632.1017E,https://ui.adsabs.harvard.edu/search/q=author%3A%22Espinoza%2C%20N%C3%A9stor%22
21,"Grant, David",7,"University of Bristol, HH Wills Physics Laboratory, Tyndall Avenue, Bristol, UK",2023,2023ApJ...956L..32G 2023ApJ...949L..15G 2023MNRAS.519.5114G,https://ui.adsabs.harvard.edu/search/q=author%3A%22Grant%2C%20David%22
22,"Maguire, Cathal",7,"School of Physics, Trinity College Dublin, University of Dublin, Dublin 2, Ireland;","2023,2024",2023MNRAS.519.1030M 2024A&A...687A..49M 2023MNRAS.519.1030M,https://ui.adsabs.harvard.edu/search/q=author%3A%22Maguire%2C%20Cathal%22
23,"Rackham, Benjamin V.",7,"Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, 77 Massachuset","2023,2024,2026",2023RASTI...2..148R 2024AJ....168...82R 2023RASTI...2..148R,https://ui.adsabs.harvard.edu/search/q=author%3A%22Rackham%2C%20Benjamin%20V.%22
24,"Radica, Michael",7,"Department of Astronomy &amp; Astrophysics, University of Chicago, 5640 South Ellis Avenue, Chicago, IL 60637,","2023,2024,2025,2026",2025ApJ...979L...5R 2024ApJ...962L..20R 2023MNRAS.524..835R,https://ui.adsabs.harvard.edu/search/q=author%3A%22Radica%2C%20Michael%22
25,"Saha, Suman",7,"Instituto de Estudios Astrofísicos, Facultad de Ingeniería Ciencias, Universidad Diego Portales, Av. Ejército ","2024,2025,2026",2024ApJS..274...13S 2025ApJ...994L..39S 2026AJ....171..295S,https://ui.adsabs.harvard.edu/search/q=author%3A%22Saha%2C%20Suman%22
26,"Xuan, Jerry W.",7,"Department of Astronomy, California Institute of Technology, Pasadena, CA 91125, USA; Department of Earth, Pla","2024,2026",2024ApJ...970...71X 2024ApJ...962...10X 2026ApJ..1000...27X,https://ui.adsabs.harvard.edu/search/q=author%3A%22Xuan%2C%20Jerry%20W.%22
27,"Xue, Qiao",7,"Department of Astronomy and Astrophysics, University of Chicago, Chicago, IL 60637, USA","2024,2025",2024ApJ...963L...5X 2024ApJ...973L...8X 2025ApJ...995L..52X,https://ui.adsabs.harvard.edu/search/q=author%3A%22Xue%2C%20Qiao%22
28,"Yang, Jeehyun",7,"Department of Astronomy and Astrophysics, The University of Chicago, Chicago, IL 60637, USA","2023,2024,2026",2024ApJ...971L..48Y 2024ApJ...966..189Y 2023ApJ...947...26Y,https://ui.adsabs.harvard.edu/search/q=author%3A%22Yang%2C%20Jeehyun%22
29,"Adams, Arthur D.",6,"Department of Astronomy, University of Virginia, 530 McCormick Road, Charlottesville, VA 22904, USA; Departmen","2023,2024,2025",2023AJ....166..192A 2023AJ....166..192A 2023AJ....166..192A,https://ui.adsabs.harvard.edu/search/q=author%3A%22Adams%2C%20Arthur%20D.%22
30,"Alderson, Lili",6,"Department of Astronomy, Cornell University, 122 Sciences Drive, Ithaca, NY 14853, USA; School of Physics, Uni","2023,2024,2025",2023Natur.614..664A 2024AJ....167..216A 2025AJ....169..142A,https://ui.adsabs.harvard.edu/search/q=author%3A%22Alderson%2C%20Lili%22
31,"Canocchi, G.",6,"Department of Astronomy, Stockholm University, AlbaNova University Center, 106 91, Stockholm, Sweden","2024,2026",2024A&A...683A.242C 2024A&A...692A..43C 2024A&A...683A.242C,https://ui.adsabs.harvard.edu/search/q=author%3A%22Canocchi%2C%20G.%22
32,"Changeat, Q.",6,"European Space Agency (ESA), ESA Office, Space Telescope Science Institute (STScI), Baltimore, MD 21218, USA; ","2024,2025",2024ApJS..270...34C 2024AJ....167..195C 2024ApJS..270...34C,https://ui.adsabs.harvard.edu/search/q=author%3A%22Changeat%2C%20Q.%22
33,"Cooke, G. J.",6,"School of Physics and Astronomy, University of Leeds, Leeds LS2 9JT, UK; Institute of Astronomy, University of","2023,2024",2024ApJ...977..209C 2023ApJ...959...45C 2024PSJ.....5..168C,https://ui.adsabs.harvard.edu/search/q=author%3A%22Cooke%2C%20G.%20J.%22
34,"Damiano, Mario",6,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109, USA;","2023,2024,2025",2024ApJ...968L..22D 2023AJ....166..157D 2025AJ....169...97D,https://ui.adsabs.harvard.edu/search/q=author%3A%22Damiano%2C%20Mario%22
35,"Fu, Guangwei",6,"Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","2024,2025",2024Natur.632..752F 2025ApJ...986....1F 2025ApJ...989L..17F,https://ui.adsabs.harvard.edu/search/q=author%3A%22Fu%2C%20Guangwei%22
